District,Station_name,State,Agency_name,Year,level,lat,long,is_filled
Ujjain,Alampur(udana),Madhya Pradesh,Madhya Pradesh GW,2015,12.6,23.04349056,75.86177778,False
Ujjain,Alampur(udana),Madhya Pradesh,Madhya Pradesh GW,2016,16.233333333333334,23.04349056,75.86177778,False
Ujjain,Alampur(udana),Madhya Pradesh,Madhya Pradesh GW,2017,13.0,23.04349056,75.86177778,False
Ujjain,Alampur(udana),Madhya Pradesh,Madhya Pradesh GW,2018,13.2,23.04349056,75.86177778,False
Ujjain,Alampur(udana),Madhya Pradesh,Madhya Pradesh GW,2019,8.6,23.04349056,75.86177778,False
Ujjain,Alampur(udana),Madhya Pradesh,Madhya Pradesh GW,2020,4.5,23.04349056,75.86177778,False
Ujjain,Alampur(udana),Madhya Pradesh,Madhya Pradesh GW,2021,6.5,23.04349056,75.86177778,True
Ujjain,Alampur(udana),Madhya Pradesh,Madhya Pradesh GW,2022,7.5,23.04349056,75.86177778,True
Ujjain,Bhainsoda,Madhya Pradesh,Madhya Pradesh GW,2015,14.549999999999999,23.20824083,75.92802778,False
Ujjain,Bhainsoda,Madhya Pradesh,Madhya Pradesh GW,2016,14.6,23.20824083,75.92802778,False
Ujjain,Bhainsoda,Madhya Pradesh,Madhya Pradesh GW,2017,13.8,23.20824083,75.92802778,False
Ujjain,Bhainsoda,Madhya Pradesh,Madhya Pradesh GW,2018,13.75,23.20824083,75.92802778,False
Ujjain,Bhainsoda,Madhya Pradesh,Madhya Pradesh GW,2019,8.85,23.20824083,75.92802778,False
Ujjain,Bharugarh,Madhya Pradesh,Madhya Pradesh GW,2015,11.3,23.23361111,75.765,False
Ujjain,Bharugarh,Madhya Pradesh,Madhya Pradesh GW,2016,11.3,23.23361111,75.765,False
Ujjain,Bharugarh,Madhya Pradesh,Madhya Pradesh GW,2017,10.75,23.23361111,75.765,False
Ujjain,Bharugarh,Madhya Pradesh,Madhya Pradesh GW,2018,11.5,23.23361111,75.765,False
Ujjain,Bharugarh,Madhya Pradesh,Madhya Pradesh GW,2019,8.75,23.23361111,75.765,False
Ujjain,Bharugarh,Madhya Pradesh,Madhya Pradesh GW,2020,4.9,23.23361111,75.765,False
Ujjain,Bharugarh,Madhya Pradesh,Madhya Pradesh GW,2021,6.9,23.23361111,75.765,True
Ujjain,Bharugarh,Madhya Pradesh,Madhya Pradesh GW,2022,7.9,23.23361111,75.765,True
Ujjain,Hamukhedi,Madhya Pradesh,Madhya Pradesh GW,2015,11.35,23.12388889,75.83638889,False
Ujjain,Hamukhedi,Madhya Pradesh,Madhya Pradesh GW,2016,11.0,23.12388889,75.83638889,False
Ujjain,Hamukhedi,Madhya Pradesh,Madhya Pradesh GW,2017,10.2,23.12388889,75.83638889,False
Ujjain,Hamukhedi,Madhya Pradesh,Madhya Pradesh GW,2018,10.649999999999999,23.12388889,75.83638889,False
