District,Census_Year,Pop,Males,Females,Sex_Ratio,Population_Density,Area
MADHYA PRADESH,1961,23217910,12020106,11197804,1073.43,75.32,308252
MADHYA PRADESH,1971,30016625,15630250,14386375,1086.46,97.38,308252
MADHYA PRADESH,1981,38168507,19866607,18301900,1085.49,123.82,308252
MADHYA PRADESH,1991,48566242,25394673,23171569,1095.94,157.55,308252
MADHYA PRADESH,2001,60348023,31443652,28904371,1087.85,195.77,308252
MADHYA PRADESH,2011,72626809,37612306,35014503,1074.19,235.61,308252
Sheopur,1961,192944,103667,89277,1161.18,29.21,6606
Sheopur,1971,242988,128808,114180,1128.11,36.78,6606
Sheopur,1981,323649,171502,152147,1127.21,48.99,6606
Sheopur,1991,431480,229516,201964,1136.42,65.32,6606
Sheopur,2001,559495,295297,264198,1117.71,84.69,6606
Sheopur,2011,687861,361784,326077,1109.50,104.13,6606
Morena,1961,590404,322394,268010,1202.92,118.34,4989
Morena,1971,742350,407515,334835,1217.06,148.8,4989
Morena,1981,979564,539240,440324,1224.64,196.34,4989
Morena,1991,1279094,707477,571617,1237.68,256.38,4989
Morena,2001,1592714,874089,718625,1216.34,319.25,4989
Morena,2011,1965970,1068417,897553,1190.37,394.06,4989
Bhind,1961,641169,346797,294372,1178.09,143.79,4459
Bhind,1971,793955,432835,361120,1198.59,178.06,4459
Bhind,1981,973816,532969,440847,1208.97,218.39,4459
Bhind,1991,1219000,671347,547653,1225.86,273.38,4459
Bhind,2001,1428559,780902,647657,1205.73,320.38,4459
Bhind,2011,1703005,926843,776162,1194.14,381.93,4459
Gwalior,1961,594362,320722,273640,1172.06,130.34,4560
Gwalior,1971,775724,423037,352687,1199.47,170.11,4560
Gwalior,1981,1010801,548297,462504,1185.50,221.67,4560
Gwalior,1991,1293567,706337,587230,1202.83,283.68,4560
Gwalior,2001,1632109,883317,748792,1179.66,357.92,4560
Gwalior,2011,2032036,1090327,941709,1157.82,445.62,4560
Datia,1961,278957,146740,132217,1109.84,96.13,2902
Datia,1971,355166,188854,166312,1135.54,122.39,2902
Datia,1981,431791,233007,198784,1172.16,148.79,2902
Datia,1991,544547,295038,249509,1182.47,187.65,2902
Datia,2001,664159,357897,306262,1168.60,228.86,2902
Datia,2011,786754,420157,366597,1146.10,271.11,2902
Shivpuri,1961,542978,287534,255444,1125.62,53.94,10066
