District wise Ground Water Availability Data of Madhya Pradesh State (In ham) of Year 2011,,,,,,
,,,,,,
District Name,Net Groundwater Availability,Natural Discharge During Non-Monsoon Season,Annual Replenishable Groundwater Resources (Total),Annual Irrigation Draft,Annual Domestic and Industrial Draft,Annual Groundwater Draft(Total)
,,,,,,
Alirajpur,20565,1082,21648,3802,2162,5964
Anuppur,38155,2008,40163,1017,1162,2180
Ashoknagar,41959,2208,44168,18738,1588,20326
Balaghat,91034,4791,95825,9620,3107,12728
Barwani,41301,2174,43475,26800,3019,29819
Betul,113959,5998,119956,55565,3594,59159
Bhind,62673,3299,65972,22632,2764,25396
Bhopal,37266,1961,39227,25719,2356,28075
Burhanpur,32373,1704,34077,23504,1147,24651
Chhatarpur,74839,3939,78778,47508,2761,50270
Chhindwara,132627,6980,139607,64955,5274,70230
Damoh,40106,2111,42217,22861,2113,24974
Datia,33018,1738,34756,14598,1248,15847
Dewas,83264,4382,87646,65523,2623,68146
Dhar,97867,5151,103017,75257,5005,80262
Dindori,42611,2243,44853,1857,1384,3241
Guna,75002,3947,78949,38689,2665,41354
Gwalior,50187,2641,52828,19710,1979,21689
Harda,51026,2686,53712,13730,976,14706
Hoshangabad,203145,10692,213837,35051,2933,37984
Indore,57084,3004,60089,65109,3369,68478
Jabalpur,59126,3112,62238,25989,3141,29130
Jhabua,22053,1161,23214,7657,2366,10023
Katni,39015,2053,41068,13404,2549,15953
Khandwa,79627,4191,83818,46898,2862,49760
Khargone,75658,3982,79640,53171,3467,56638
Mandla,55672,2930,58603,6218,2248,8465
Mandsaur,57221,3012,60232,51972,3229,55201
Morena,60885,3204,64089,20623,4289,24912
Narsinghpur,116545,6134,122679,85929,2168,88097
Neemuch,40656,2140,42795,32094,1749,33843
Panna,51897,2731,54629,11531,2101,13633
Raisen,90262,4751,95013,37095,3168,40263
Rajgarh,86590,4557,91148,68296,3457,71753
Ratlam,73687,3878,77565,90218,2382,92601
Rewa,46942,2471,49413,20570,4609,25179
Sagar,122647,6455,129102,69993,2418,72411
Satna,54162,2851,57012,35041,5167,40208
Sehore,74999,3947,78947,55106,2585,57692
Seoni,70970,3735,74706,17504,3029,20532
Shahdol,64469,3393,67862,2305,1928,4233
Shajapur,98902,5205,104108,93239,3583,96822
Sheopur,42376,2230,44606,14218,1274,15492
Shivpuri,74690,3931,78621,47917,3226,51143
Sidhi,34195,1800,35995,10705,2433,13138
Singrauli,35680,1878,37558,8555,2257,10812
Tikamgarh,55672,2930,58602,37827,2348,40175
Ujjain,91088,4794,95883,83560,3141,86701
Umaria,44067,2319,46386,3661,1277,4937
Vidisha,89045,4687,93731,44543,3585,48128
